=== Trainable / Frozen Parameter Report ===
Total params: 269,178,151
Trainable params: 269,178,151 (100.00%)
Frozen params: 0

=== Top-level module summary ===
- diffusion | trainable 269,178,151 (100.00%) | frozen 0 | (param cnt: tr 212, fr 0)

=== Trainable parameters (count=212) ===
diffusion.unet.up_modules.0.0.conv2.block.0.bias	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.0.conv2.block.1.weight	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.0.conv2.block.1.bias	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.0.residual_conv.weight	shape=(1024, 4096, 1)	numel=4,194,304	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.0.residual_conv.bias	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.1.conv1.block.0.weight	shape=(1024, 1024, 5)	numel=5,242,880	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.1.conv1.block.0.bias	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.1.conv1.block.1.weight	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.1.conv1.block.1.bias	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.1.cond_encoder.1.weight	shape=(2048, 485)	numel=993,280	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.1.cond_encoder.1.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.1.conv2.block.0.weight	shape=(1024, 1024, 5)	numel=5,242,880	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.1.conv2.block.0.bias	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
